date,merchant,amount
2026-06-02,UNITED AIRLINES 023,512.00
2026-06-04,DELTA AIR LINES,288.40
2026-06-06,MARRIOTT HOTELS,281.43
2026-06-07,SQ *BLUE BOTTLE COFFEE,6.50
2026-06-09,CHIPOTLE 1123,14.20
2026-06-10,TRADER JOE'S #123,47.83
2026-06-12,WHOLE FOODS MKT,88.10
2026-06-14,AMAZON MARKETPLACE,120.00
2026-06-15,SHELL OIL 5567,58.00
2026-06-17,SAFEWAY #445,63.25
2026-06-19,OLIVE GARDEN,56.30
2026-06-21,TARGET 00012,75.50
2026-06-23,COSTCO WHSE #88,210.00
2026-06-25,SUSHI YA,82.00
2026-06-27,ACH PYMT ACCT 1234-5678-9012-3456,500.00
2026-06-28,APPLE.COM/BILL,9.99
2026-06-29,UBER TRIP HELP.UBER.COM,24.50
2026-06-30,DELTA AIR LINES,62.00
